repo,path,number_of_headings,language,cve_count
aptible/www,src/markdown/legal/security.md,32,EN,0
aptible/www,src/markdown/legal/supplemental-terms-of-service-for-security-assessment-questionnaire-offering.md,8,EN,0
aptible/www,src/markdown/hipaa/164-306-security-general.md,0,EN,0
Tri-Vi/redis-node,SECURITY.md,3,EN,0
RickStrahl/MarkdownMonster,SECURITY.md,3,EN,0
samiurprapon/Aether,SECURITY.md,5,EN,0
SnowlyToken/snowly-erc20-contract,SECURITY.md,1,EN,0
rubtoa/kalll,SECURITY.md,1,EN,0
jillmnolan/azure-backup-job,SECURITY.md,3,EN,0
RaresAil/prisma-mapper,SECURITY.md,3,EN,0
aptible/docker-elasticsearch-legacy,SECURITY.md,3,EN,0
crossplane/crossplane,SECURITY.md,7,EN,0
crossplane/crossplane,design/defunct/one-pager-packages-security-isolation.md,35,EN,0
danielgoqueiroz/fotoradar-api,SECURITY.md,3,EN,0
MrAzimzadeh/Techblog-MVC,SECURITY.md,3,EN,0
JuPegro/Patients,SECURITY.md,3,EN,0
memoirspathos/memoirspathos.github.io,SECURITY.md,3,EN,0
facelessuser/soupsieve,SECURITY.md,4,EN,1
facelessuser/soupsieve,docs/src/markdown/about/security.md,0,EN,0
Dveid123/Avto-start-programs,SECURITY.md,3,EN,0
NextCapital/copy-service,SECURITY.md,4,EN,0
doger83/g2.Animation,SECURITY.md,3,EN,0
upbound/crossplane,SECURITY.md,7,EN,0
upbound/crossplane,design/defunct/one-pager-packages-security-isolation.md,35,EN,0
rajguptaH/KeplerCrud,SECURITY.md,3,EN,0
mingdebaba/flutterStart,SECURITY.md,3,EN,0
kalebzaki4/Animeflix,node_modules/cookie/SECURITY.md,2,EN,0
kalebzaki4/Animeflix,node_modules/body-parser/SECURITY.md,2,EN,0
my-crazy-org/my-first-repo,SECURITY.md,3,EN,0
sajidhamdard/learnjavascript,SECURITY.md,3,EN,0
IammarkkoMusic/Markko,SECURITY.md,3,EN,0
Sultantech-pom/apps-security,SECURITY.md,3,EN,0
nvkode/nvdoc-bundle,SECURITY.md,3,EN,0
b-m-f/wired,SECURITY.md,3,EN,0
nvkode/nvko,SECURITY.md,3,EN,0
kislyuk/argcomplete,SECURITY.md,3,EN,0
r3x5ur/wxapkg-unpacker,SECURITY.md,3,EN,0
omgitsjan/DiscordBotAI,SECURITY.md,3,EN,0
SherlockChiang/arch-in-fydeos,SECURITY.md,3,ZH,0
Coral-Inc/bog-forlaget,SECURITY.md,3,EN,0
AmixemHello/sketchingcollabo,SECURITY.md,3,EN,0
apache/dubbo-website,content/en/latest/notices/security.md,3,ZH,6
apache/dubbo-website,content/en/latest/contribution-guidelines/contributor/reporting-security-issues_dev.md,2,ZH,0
apache/dubbo-website,content/en/docs/notices/security.md,4,EN,7
apache/dubbo-website,content/en/docs/contribution-guidelines/contributor/reporting-security-issues_dev.md,2,EN,0
caketheidiot/cakeedit,SECURITY.md,3,EN,0
HeadcrabJ/HCWeb.NET,SECURITY.md,3,EN,0
shweth10/shweth10.github.io,SECURITY.md,3,EN,0
dgjinsu/JPA_STUDY,Security.md,5,KO,0
nanopathi/external_libavc_AOSP10_r33_CVE-2021-0325,SECURITY.md,3,EN,0
studioalex/studioalex,SECURITY.md,7,EN,0
aptible/docker-registry-all-in-one,SECURITY.md,3,EN,0
DigitalBitTechnologies/Artyom-NeuralAssistant,SECURITY.md,3,EN,0
aptible/docker-postgresql,SECURITY.md,3,EN,0
N0-0NE-Dev/NoFasel,SECURITY.md,3,EN,0
ivandavidcarmonah/Api-de-Gestion-de-Inventarios,SECURITY.md,3,EN,0
marianozamora/marianozamora.github.io,SECURITY.md,3,EN,0
4i8/QuranBot,SECURITY.md,2,EN,0
nairraf/x4SaveManager,SECURITY.md,3,EN,0
aptible/elasticsearch-logstash-s3-backup,SECURITY.md,3,EN,0
Ash1392005/Ari-an,SECURITY.md,3,EN,0
gitadvisor/gitscan-action,java/old-change-notes/2020-08-31-extensible-security-queries.md,0,EN,0
gitadvisor/gitscan-action,go/SECURITY.md,0,EN,0
aptible/fridge,SECURITY.md,3,EN,0
aptible/docker-elasticsearch,SECURITY.md,3,EN,0
netdata/.github,SECURITY.md,9,EN,0
kubernetes/website,content/en/docs/tasks/configure-pod-container/security-context.md,12,EN,0
kubernetes/website,content/pt-br/docs/concepts/security/windows-security.md,3,PT,0
kubernetes/website,content/ja/docs/tasks/administer-cluster/migrating-from-dockershim/migrating-telemetry-and-security-agents.md,5,JA,0
